"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"283","FB-11","FB-11: Fetal Bovine Serum, U.S. Source","u-s-source-fetal-bovine-serum","http://www.omegascientific.com/shop/u-s-source-fetal-bovine-serum/","Omega Scientific's U.S. Source Fetal Bovine Sera is collected entirely from USDA licensed abattoirs and processed within the United States.

Our serum is maintained at or below 40°F from collection through sterile bottling to ensure superior performance.

<a href=""http://omegascientific.ogram.me/assets/MSDS-FBS.pdf"">MSDS</a>","Catalog #: FB-11

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","Yes","No","No","395",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","FB-11|fb11|Fetal|fetal bovine|fetal bovine sera|premium|sera|serum|U.S.|U.S. Source|US|US Source","http://omegascientific.ogram.me/assets/FB-11-1sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"291","HS-20","HS-20: Human AB Serum","human-ab-serum","http://www.omegascientific.com/shop/human-ab-serum/","Human AB Serum, Male Donors
Testing: Human Serum is collected from companies whose screening practices conform to all applicable FDA regulations. Specifically we are informed that each individual donor unit before pooling is tested and found negative for Hepatitis B (HBsAG), Hepatitis C (Anti-HCV) and Human Immunodeficiency Virus (HIV) antibodies. Final product is tested and found negative for (HBsAG), Hepatitis A and (HIV). Nevertheless, products of human origin should be considered potentially infectious and handled accordingly.

&nbsp;","Catalog #: HS-20

Volume: 100mL

Storage: -20<sup>o</sup> C

Sterile Filtered

VIrus Screened

AB Male Donors

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","135",,,,".2","lbs","4.33071","in","2.12598","in","2.12598","in","Human Sera","ab|hs-20|hs20|human|human ab|human ab serum|human serum","http://omegascientific.ogram.me/assets/HS-20-2sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"294","HS-30","HS-30: Human Serum","human-serum","http://www.omegascientific.com/shop/human-serum/","Human Serum, Male Donors
Testing: Human Serum is collected from companies whose screening practices conform to all applicable FDA regulations. Specifically we are informed that each individual donor unit before pooling is tested and found negative for Hepatitis B (HBsAG), Hepatitis C (Anti-HCV) and Human Immunodeficiency Virus (HIV) antibodies. Final product is tested and found negative for (HBsAG), Hepatitis A and (HIV). Nevertheless, all products of human origin should be considered potentially infectious and handled accordingly.","Catalog #: HS-30

Volume: 100mL

Storage: -20<sup>o</sup> C

Sterile Filtered

VIrus Screened

Male Donors

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","125",,,,".2","lbs","4.33071","in","2.12598","in","2.12598","in","Human Sera","hs-30|hs30|human","http://omegascientific.ogram.me/assets/HS-30-sm.png",,"Taxable",,,,,"No",,"In Stock","No","No",,,,,"Publish","Closed"
,,"296","FB-01","FB-01: Fetal Bovine Serum, USDA Certified","fetal-bovine-serum-usda-certified","http://www.omegascientific.com/shop/fetal-bovine-serum-usda-certified/","USDA Approved FBS is collected entirely from USDA licensed abattoirs. Serum is maintained at or below 40°F from collection through sterile bottling to ensure superior performance. Sterility is guaranteed according to CFR title 9 testing procedures.","Catalog #: FB-01

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","Yes","No","No","375",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","fb-01|fb01|Fetal|fetal bovine|fetal bovine serum|serum","http://omegascientific.ogram.me/assets/FB-01-1sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"298","FB-02","FB-02: Fetal Bovine Serum, USDA Certified, Heat Inactivated","fetal-bovine-serum-usda-certified-heat-inactivated","http://www.omegascientific.com/shop/fetal-bovine-serum-usda-certified-heat-inactivated/","Processed serum is thawed and then heated in a water bath at 56°C for 30 minutes.

The serum is swirled every 10 minutes to ensure proper integration of concentrated protein.

The “heat” inactivates the ""complement"" in the serum.

Complement is defined as a series of 20 proteins produced by the liver which amplify the action of antibodies.","Catalog #: FB-02

Volume: 500mL

Storage: -20º C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Low Hemoglobin lots (<15mg/dL) may be available.

Low Endotoxin lots (<1.0EU/mL) may be available.

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>

This product ships on dry ice.","Simple","Catalog & Search","Yes","No","No","375",,,,"1.5","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Fetal Bovine Serum","fb-02|fb02|Fetal|fetal bovine|fetal bovine sera|heat inactivated|heated","http://omegascientific.ogram.me/assets/FB-02-1sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"299","BC-04","BC-04: Bovine Calf Serum","bovine-calf-serum","http://www.omegascientific.com/shop/bovine-calf-serum/","Bovine Calf Serum is collected from formula-fed calves in the United States that are less than 18 months old. Raw material is collected via veni-puncture and triple 0.1 micron filtered.","Catalog #: BC-04

Volume: 500mL

Storage: -20<sup>o</sup> C

Virus Screened

Mycoplasma Tested

Triple 0.1 Micron Filtered

Discuss your specification requirements with a <a title=""Contact"" href=""http://www.omegascientific.com/contact/"">Sales Representative</a>.

This product ships on dry ice.","Simple","Catalog & Search","No","No","No","50",,,,"2.05","lbs","6.9685","in","2.91339","in","2.91339","in","Animal Sera>Bovine Calf Serum","BC-04|BC04|bovine|Bovine Calf|calf|Calf Serum|serum","http://omegascientific.ogram.me/assets/BC-04sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"350","NE-01","NE-01: Nonessential Amino Acid, 10mM","nonessential-amino-acid-10mm","http://www.omegascientific.com/shop/nonessential-amino-acid-10mm/","Adding Non-essential Amino Acids to your medium may improve the propagation viability and growth of cells in culture while reducing the burden of biosynthesis on those cells. The concentration of this supplement allows for efficient addition to media without the risk of diluting media components.","Catalog #: NE-01
100x Solution
Volume: 100 mL
Storage: 2-8º C","Simple","Catalog & Search","No","No","No","14.95",,,,".2","lbs","4.33071","in","2.12598","in","2.12598","in","Antibiotics and Supplements","acids|amino|amino acid|NE-01|NE01|nonessential amin acidds","http://omegascientific.ogram.me/assets/NE-01-2sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"370","AA-40","AA-40: Antibiotic Antimycotic (100x), 100 mL","antibiotic-antimycotic-100x","http://www.omegascientific.com/shop/antibiotic-antimycotic-100x/","Inhibits bacterial cell-wall synthesis (Penicillin), inhibits prokaryote protein synthesis (Streptomycin) and interferes with fungal membrane permeability (Amphotericin B) 25 μg/mL Amphotericin B
10,000 U/ml of Penicillin G
10,000 μg/mL of Streptomycin
8.5 g/L Sodium Chloride
0.2μm Sterile Filtered Antimicrobial spectrum: Gram-negative bacteria, Gram-positive bacteria, fungi and yeasts.","Catalog # AA-40
Volume: 100 mL
Storage: -20º C
This product is stored frozen and ships on dry ice.","Simple","Catalog & Search","No","No","No","22.95",,,,,"lbs",,"in",,"in",,"in","Antibiotics and Supplements","AA-40","http://omegascientific.ogram.me/assets/AA-40sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"372","AP-05","AP-05: Ampicillin Disodium Salt, 5g","ampicillin-disodium-salt-5g","http://www.omegascientific.com/shop/ampicillin-disodium-salt-5g/","Inhibitor of bacterial cell wall synthesis resulting in lysis or deformation of the bacterium. Highly active against gram negative bacteria. Soluble in water.","CAS 69-52-3","Simple","Catalog & Search","No","No","No","45",,,,"0.0110231","lbs","3","in","1.5","in","1.5","in","Antibiotics and Supplements|Plant Cell Culture","AP-05","http://omegascientific.ogram.me/assets/AP-05sm4.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
,,"373","AP-25","AP-25: Ampicillin Disodium Salt, 25g","ampicillin-disodium-salt-25g","http://www.omegascientific.com/shop/ampicillin-disodium-salt-25g/","CAS 69-52-3","CAS 69-52-3","Simple","Catalog & Search","No","No","No","67",,,,"0.0551156","lbs","4","in","2","in","2","in","Antibiotics and Supplements|Plant Cell Culture","AP-25","http://omegascientific.ogram.me/assets/AP-25sm.png",,"Taxable",,,,,"No",0,"In Stock","No","No",,,,,"Publish","Closed"
